t,angI,Inhibition,Renin,AGT,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
0.0,351033.40604757617,0.0,9888.0,902590000000.0,0.02100000000194,0.0999904835224872,0.0,9.858000000000002,16.200000000000003,5.4,0.3850817669777473,0.3850817669777473
0.002,2852189.8640548615,73.4333525859005,9884.79576426044,6659599289029.385,0.060778281305092996,0.2893928445143128,6.143833715525811,9.258329003137545,13.914158965449984,4.627321232499133,0.3850817669777473,0.4528861532167711
0.004,5316706.231286258,83.96132305176923,9880.072306803979,12378032610582.037,0.0688940239167934,0.32803556012445617,11.711031227572203,8.749318243498275,12.04193943085725,3.990711150111138,0.3850817669777473,0.5187478891843922
0.006000000000000001,7764940.193915957,88.1819739384424,9875.133497524434,18058148425472.27,0.07426281286085543,0.35359878881004436,16.75228556514406,8.324624945105642,10.482037954617763,3.45874639633978,0.3850817669777473,0.5827045465897877
0.008,10196834.648382492,90.44943721706504,9870.179432409748,23700203463508.6,0.07886003028059423,0.3754882170298166,21.313853626750987,7.978457500789863,9.180846049165428,3.013792744353385,0.3850817669777473,0.6447947602976781
0.01,12612455.988855021,91.85873789490398,9865.265340802698,29304452774386.09,0.08317940016928387,0.3960546876794666,25.43794425542874,7.705406684961501,8.09671072249748,2.641951694895276,0.3850817669777473,0.7050579668076722
0.012000000000000002,15011897.466947751,92.81492463861436,9860.40039527464,34871149558689.01,0.0873925235611742,0.4161152707773761,29.163072365578596,7.500445711913568,7.196041312347416,2.3319471025032197,0.3850817669777473,0.7635342544451741
0.014,17395259.50902864,93.50266192292789,9855.578893047434,40400545477860.64,0.09158915868406992,0.4360973457805679,32.524382091352415,7.358844632377704,6.450333556055703,2.0741856400918577,0.3850817669777473,0.8202640880813862
0.016,19762646.2252362,94.01820492229959,9850.78777106071,45892890545417.89,0.09580951837468854,0.4561923841646054,35.55394166652403,7.27617441620863,5.835604288694088,1.8605816820619463,0.3850817669777473,0.8752881893585783
0.018,22114162.311526388,94.41666691836151,9846.01056880481,51348433063691.82,0.10007773679774287,0.47651529958657507,38.28101250872699,7.248301605053928,5.3318314872460615,1.6843763033285608,0.3850817669777473,0.9286474103729226
0.02,24449912.769852843,94.73188618180741,9841.230096505173,56767419659173.38,0.10440853047300296,0.49713616404302174,40.7322947646156,7.271362982581226,4.922148805183983,1.53987160938539,0.3850817669777473,0.9803825700564457
0.022000000000000002,26770002.02098188,94.98579275268303,9836.42914785415,62150095653793.555,0.10881540190011399,0.5181192690324293,42.932151375106464,7.341693698374591,4.591780859949929,1.4220735035367065,0.3850817669777473,1.0305343948186407
0.024000000000000004,29074533.92098641,95.19322614190723,9831.590754322317,67496704087622.52,0.11330713902817212,0.539506457949046,44.90281253972618,7.455968394562132,4.3293975351632765,1.3271481735228061,0.3850817669777473,1.0791433958723797
0.026,31363614.91444942,95.36458875797841,9826.698491787893,72807486513197.77,0.11786844102142399,0.5612248766040557,46.66456229471744,7.61105682708605,4.125219917979444,1.251785969388745,0.3850817669777473,1.1262497394899025
0.028,33637342.9222469,95.50739048353603,9821.738581494836,78082682915488.25,0.12253415587754075,0.5834404520515827,48.23590876956042,7.8040230276421925,3.970840417041379,1.1931418256971764,0.3850817669777473,1.1718931796285361
0.03,35895825.32515009,95.62718987216107,9816.69627058256,83322531698796.34,0.12728260460195348,0.6060499608083401,49.63373954969336,8.032121514859613,3.8591761635061155,1.1488176934912513,0.3850817669777473,1.2161130238381594
0.032,38139171.8641843,95.72819017676197,9811.557014987477,88527269798484.67,0.13207275512101257,0.628858030641767,50.873463448316215,8.292760378274634,3.783867680928126,1.1166608362217973,0.3850817669777473,1.2589480254993262
0.034,40367459.1596078,95.81362940035827,9806.312503005425,93697132513352.89,0.13702457700312742,0.652435890844822,51.969139876187015,8.58352364742348,3.7395683864925124,1.0948636136496095,0.3850817669777473,1.3004363698518233
0.036,42580803.98262738,95.88604290087939,9800.952047223862,98832353548494.83,0.14206995611562834,0.6764592192718037,52.933596894316935,8.902155475530751,3.7218340258084264,1.0819200856287958,0.3850817669777473,1.3406156261485187
0.038,44779308.827811606,95.94744462781485,9795.465496909688,103933165031996.25,0.14719375902584997,0.7008559588155971,53.77853893956473,9.24655131644152,3.7269460509599712,1.0765708041560274,0.3850817669777473,1.3795227244854087
0.04,46963073.5470757,95.9994549629919,9789.842124723262,108999797523748.7,0.15238822887439687,0.7255891755656544,54.51464512652716,9.614744293020685,3.751768114018074,1.0777535027101357,0.3850817669777473,1.4171939041156953
0.042,49132195.69550833,96.04339266166296,9784.071816924072,114032480042447.0,0.15766873603700032,0.7507320548220304,55.15165895009493,10.004897113306205,3.793654177726088,1.0845724954705431,0.3850817669777473,1.4536647041344406
0.044000000000000004,51286770.11539663,96.08034213082426,9778.146453161979,119031440075553.02,0.1630420586282342,0.7763168702491803,55.69847014092904,10.415290632978186,3.850341415605822,1.0962618441189755,0.3850817669777473,1.4889699387662096
0.046000000000000006,53426890.09848642,96.11120343392847,9772.058555352985,123996903575353.75,0.16852232505588002,0.802410893576882,56.16318936030653,10.844327661516061,3.9199903919654293,1.1121992368770854,0.3850817669777473,1.523143704231373
0.04800000000000001,55552659.563409165,96.13672998489592,9765.8005534816,128929095002924.72,0.17408666120982,0.8289052108370113,56.553216360735426,11.290501183363673,4.000914741828052,1.1318137726140312,0.3850817669777473,1.5562193153907091
0.049999999999999996,57664174.33851435,96.15755732903993,9759.366209169208,133828237297066.94,0.17973460170080507,0.8557976061011857,56.87530218394206,11.752416211022046,4.09178473472513,1.1546558134058564,0.3850817669777473,1.588229357655102
