t,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
0.0,0.021000000001939998,0.09999048352248717,0.0,9.858000000000002,16.200000000000003,5.4,0.38508176697774726,0.3850817669777473
0.002,0.07250860930971818,0.34524623351200273,3.5522360726030593,9.256842399722293,13.894936171057731,4.632100505917177,0.3789816869058791,0.43724574872209804
0.004,0.08779486424588732,0.41803099647268643,6.828923380134314,8.744151604984383,12.034030234716786,4.0124173561097045,0.3731154708302415,0.489443739068106
0.006000000000000001,0.0967575158767248,0.46070622838355585,9.850990365547128,8.313684054080525,10.495945269161295,3.500342737896262,0.36740057278397453,0.5416642961925933
0.008,0.10362127934213998,0.4933877058896246,12.63777663943481,7.959765642397671,9.219148766979297,3.0753345979409104,0.36181685146759013,0.5938966494355703
0.01,0.1095594110051087,0.5216618323727475,15.207153598812198,7.677128601264594,8.159051737283294,2.72252270412965,0.3563554531658129,0.6461308457899895
0.012000000000000002,0.11502723900574013,0.5476966307322915,17.575635888929174,7.460849138057909,7.280101968441018,2.4300562656324063,0.3510111278072181,0.6983577027130973
0.014,0.12023785684247827,0.572506735346492,19.758484403281905,7.306362004063413,6.55386185705348,2.1884589374481567,0.34578037969785397,0.7505688652171351
0.016,0.1253104477156768,0.5966596312548739,21.769801464213106,7.209359729831762,5.956057031514017,1.9896428078876844,0.3406603707015252,0.8027565751707316
0.018,0.13030921545633278,0.620461021890999,23.622618777724377,7.165821634547865,5.466527511832038,1.8268916679881912,0.335648757497862,0.854913733487835
0.02,0.1352768505203999,0.6441141757944964,25.328978711058074,7.171964182501632,5.068125777574257,1.694493379796257,0.33074347801011794,0.9070337819527273
0.022000000000000002,0.1402360214301529,0.6677270280369273,26.900009399961103,7.224290842747508,4.746947484519503,1.5878165538090832,0.32594270688222604,0.9591108064938215
0.024000000000000004,0.1452115140584583,0.6914175953522067,28.345994154060495,7.319466830881197,4.490581580825025,1.5027273030653345,0.3212447015277631,1.0111392571259006
0.026,0.15021682153079693,0.7152501246041888,29.676435593218507,7.454475115616195,4.289702196934386,1.4361196942877845,0.31664791606187276,1.063114296617939
0.028,0.1552329633233785,0.7391342409475815,30.90011491487358,7.626470081959556,4.136175406575835,1.3852847869766747,0.3121508436873015,1.1150314539654216
